GeneId	SRR4423201_rep1	SRR4423202_rep2	SRR4423203_rep3	SRR4423204_rep4
Khdc1c	1	5	0	0
Gm2709	0	1	0	8
Gm16533	0	0	0	0
Khdc1b	0	0	0	0
Gm16328	0	0	0	0
Kcnq5	0	1	0	4
Gm36949	0	0	0	0
Gm7658	9	3	8	3
Gm38243	0	0	0	0
Gm5696	0	0	0	0
Gm28239	0	0	0	0
Rims1	62	188	122	178
Gm26866	0	0	0	0
Gm7761	0	0	0	0
Gm29506	0	2	0	0
Ppp1r14bl	6016	8946	3451	6071
Gm24176	0	0	0	0
Gm6420	12	39	14	39
Mir30a	0	0	0	0
Gm27028	0	4	0	0
Mir30c-2	0	0	0	0
Gm29107	0	0	0	0
Gm20954	0	0	0	0
Ogfrl1	18	118	45	51
Gm7784	0	0	0	0
Gm28822	0	0	0	0
B3gat2	30	12	0	4
Smap1	730	1930	668	906
Sdhaf4	68	50	95	47
Gm26524	0	0	0	0
Fam135a	298	446	110	239
Gm37580	0	4	0	0
Gm26607	0	0	0	0
Col9a1	62	42	0	2
Col19a1	0	53	0	29
Gm26418	0	0	0	0
Tubb4b-ps2	7	4	6	2
Gm28439	0	0	0	0
Gm10222	0	0	0	0
Gm28438	0	0	0	0
Gm28437	0	0	1	0
Gm10925	0	0	0	0
Gm28661	0	0	0	0
Gm29216	0	0	2	4
Lmbrd1	367	840	489	352
Gm28594	0	0	0	0
Gm28237	0	3	0	6
Gm9443	0	0	0	0
Gm29414	0	4	0	0
Adgrb3	70	125	11	32
Gm15702	0	0	0	0
Gm20172	0	0	0	0
Gm22260	0	0	0	0
Gm37543	0	0	0	0
Gm37331	0	4	0	0
Gm37211	0	0	0	0
Gm37862	0	0	0	0
Gm38286	0	0	0	0
Gm37880	0	0	0	0
Gm25294	0	0	0	0
Gm37011	0	0	0	0
Gm29214	0	0	0	0
Gm37051	0	0	0	0
Gm38260	0	0	0	0
Gm37628	0	0	0	0
8030445P17Rik	0	1	0	0
Gm38198	0	0	0	0
Gm37077	0	0	0	0
Gm37895	0	0	0	0
Gm36952	0	0	0	0
Gm37602	0	0	0	0
2900022M07Rik	0	0	0	0
2900002M20Rik	0	0	0	0
Gm9884	0	0	0	0
Gm18443	0	0	0	0
Gm19123	0	0	0	0
Gm24064	0	0	0	0
4931408C20Rik	1641	4422	1237	1649
n-R5s209	7	2	0	0
Gm19641	0	0	0	0
Gm5524	0	0	0	0
Gm18776	0	0	0	0
Gm19028	1	0	1	0
Gm38089	0	0	0	0
Gm7846	0	0	0	0
Gm597	38	124	59	95
Gm5697	0	16	0	0
Gm6462	0	2	0	0
Gm18033	0	0	0	0
Y_RNA	0	0	0	0
ENSMUSG00002076857	0	0	0	0
ENSMUSG00002074912	0	0	0	0
Mir6342	0	0	0	0
Gm5525	4	9	1	14
Gm53035	0	0	0	0
Gm7858	0	0	0	0
ENSMUSG00002075317	0	0	0	0
ENSMUSG00002075289	0	0	0	0
Gm9898	0	0	0	0
Gm6473	2	3	0	1
Gm2914	0	0	0	0
Phf3	497	1059	314	471
Gm37522	0	4	0	2
Gm37906	16	26	0	0
Ptp4a1	24	76	0	36
Ptp4a1	0	23	0	4
Gm5698	0	0	0	0
Gm9458	0	0	0	0
4931428L18Rik	0	53	1	18
Gm28644	0	0	0	0
5S_rRNA	0	0	0	0
Gm29128	0	2	0	0
Gm7893	0	6	0	8
Lgsn	0	13	0	10
Dnaaf6	0	14	0	0
Gm26145	0	0	0	0
Gm4850	0	0	0	0
Gm28645	0	0	0	0
Gm6489	0	0	0	0
Eef1a1-ps2	0	0	0	0
Gm19680	2	0	0	0
Gm23032	0	0	0	0
Gm7910	0	1	0	0
Khdrbs2	0	4	0	0
Gm25814	0	0	0	0
Gm37999	0	0	0	0
Gm37110	0	0	0	0
Gm37911	0	0	0	0
Gm9839	8	34	0	24
Gm37792	0	0	0	0
Semp2l1	14	125	0	54
Gm24732	0	0	0	0
Gm37426	0	0	0	0
7SK	0	0	0	0
Gm37151	0	0	0	0
Gm28624	0	0	0	0
Gm37724	0	0	0	0
Gm7114	2	3	5	5
Gm4785	1	0	0	0
Gm24901	0	0	0	0
Gm37591	0	0	0	0
Gm2987	0	0	0	0
Gm25792	0	0	0	0
Gm18799	0	0	0	0
Gm7933	0	0	0	0
Gm23453	0	0	0	0
Prim2	709	1379	460	877
Gm29228	0	0	0	0
Gm37618	0	6	0	18
Gm17813	0	2	0	0
1700001G17Rik	42	10	0	0
Gm38173	0	0	0	0
Rab23	228	277	54	163
Bag2	143	375	250	190
Gm37905	0	0	0	0
Zfp451	567	1686	609	961
Gm15455	4	6	2	7
Bend6	0	0	0	10
Gm37067	0	0	0	0
Dst	3005	6365	2739	3429
Gm37354	0	0	0	0
Gm28631	0	0	0	0
Gm23792	0	0	0	0
Gm38157	0	0	0	0
Mir6896	0	0	0	0
Gm26788	0	11	9	14
A930005N03Rik	0	4	0	2
Gm37958	0	0	0	0
Gm37385	0	0	0	0
Gm5266	0	0	0	0
Gm3052	7	1	0	0
Gm37233	53	31	24	6
Mir5103	0	0	0	0
Ccdc115	80	170	19	86
Gm28306	0	0	0	0
Imp4	308	518	411	395
Ptpn18	30	90	80	42
Gm28417	14	2	0	7
4930568A12Rik	16	17	0	8
Prss39	187	558	136	308
Gm28416	0	0	0	0
Cfc1	0	2	0	10
Gm28419	0	0	14	0
Prss40	64	58	8	8
1700101I19Rik	0	75	14	20
Amer3	63	65	0	49
Gm28418	0	0	0	0
Gm36984	0	0	0	0
Gm29730	0	0	0	0
AA619741	0	0	0	0
Arhgef4	35	91	51	42
Gm37224	0	1	0	0
Gm37845	0	0	0	0
SMIM39	0	0	0	0
Gm38336	5	3	0	0
Fam168b	606	1276	574	647
Gm37127	0	16	0	0
Plekhb2	312	785	341	427
Gm19430	0	0	0	0
Gm37670	0	0	0	0
Gm8009	0	0	0	0
Gm38027	0	0	0	0
Gm25096	0	0	0	0
Gm37068	0	0	0	0
Gm25634	0	0	0	0
Gm28415	0	0	0	0
1110002O04Rik	0	0	0	0
Gm8022	0	0	0	0
Gm37146	0	0	0	0
Gm33222	0	3	0	0
4930535G08Rik	0	0	0	0
Gm38049	0	0	0	0
Hs6st1	426	812	707	392
Gm37335	0	0	0	0
Gm33280	44	53	38	30
Uggt1	3428	6033	3784	2645
Mir6897	0	2	9	0
Neurl3	118	352	200	199
Arid5a	22	85	26	39
4930403P22Rik	0	4	20	0
Kansl3	1168	2075	797	1288
Mir6898	18	0	0	0
Fer1l5	1677	3393	991	2653
Lman2l	493	982	516	502
Cnnm4	330	473	267	197
Gm37909	20	8	0	0
ENSMUSG00002075980	0	0	0	0
Cnnm3	326	598	391	310
Gm38033	0	0	0	0
Ankrd23	0	9	0	6
Gm42417	0	0	0	0
Ankrd39	62	115	14	84
Sema4c	352	610	408	392
D430040D24Rik	89	91	30	32
Fam178b	617	1572	668	1073
Gm6428	8	10	0	4
ENSMUSG00002075377	0	1	0	0
Cox5b	137	585	204	290
Actr1b	804	1556	529	789
4933424G06Rik	32	59	0	51
Gm33533	0	3	0	0
Zap70	15	66	37	55
Gm18828	0	8	0	0
Tmem131	814	1554	720	643
Gm37506	0	0	0	0
Gm38115	0	10	0	0
F830112A20Rik	0	13	0	0
Rpl12-ps1	0	0	0	0
n-R5s210	0	0	0	0
Vwa3b	2202	4785	1897	2731
Gm37020	0	0	0	4
Cnga3	24	18	14	0
1700074A21Rik	154	384	46	217
Inpp4a	1532	3264	1324	1942
4930439A04Rik	56	16	12	6
Gm37135	0	4	0	0
Coa5	528	754	339	474
Unc50	143	353	195	152
Mgat4a	472	579	197	321
4930594C11Rik	27	3	0	12
Gm43213	0	2	0	0
Cracdl	1209	2177	1166	869
4930556I23Rik	44	210	128	75
4930470B04Rik	4	60	0	65
Gm19863	14	42	0	0
Tsga10	883	1364	777	737
Gm26805	0	0	0	0
Lipt1	16	36	0	22
Mitd1	28	28	39	18
Mrpl30	161	367	206	184
Lyg2	0	8	0	0
Gm15457	0	0	0	0
Lyg1	0	0	0	0
7SK	0	0	0	0
Txndc9	95	345	116	297
Eif5b	373	1024	270	518
Rev1	743	1571	252	1002
Gm37062	0	8	0	0
Gm5099	18	30	0	42
Aff3	45	52	0	50
Gm16150	8	86	0	54
Gm16151	0	0	0	0
Gm16152	0	4	0	0
Gm34727	0	0	0	0
Gm38135	0	2	0	0
2610300A13Rik	0	0	0	0
Lonrf2	28	22	36	22
Chst10	181	199	78	177
Gm37707	0	2	0	0
Gm6621	0	4	0	0
Nms	0	0	0	0
Pdcl3	56	185	40	151
Gm37309	0	15	0	4
Gm37821	0	10	0	10
Gm37091	0	13	0	5
Mir6349	0	0	0	0
Npas2	32	20	0	18
Gm20428	0	0	0	0
Gm3617	0	0	0	1
Rpl31	341	961	331	651
Tbc1d8	1291	2234	1062	1018
Gm37265	30	22	0	12
Gm24826	0	0	0	0
ENSMUSG00002076218	0	0	0	0
Cnot11	50	364	123	228
Gm15832	0	0	0	0
Snord89	0	0	0	0
Rnf149	55	181	30	143
Gm23722	0	3	0	0
Gm5100	0	0	0	0
Creg2	0	5	0	0
D930019O06Rik	0	0	0	0
Rfx8	75	145	138	127
Gm3646	0	0	0	0
1700066B17Rik	23	57	38	28
Map4k4	917	2383	1002	1223
4930456G14Rik	0	18	0	0
Il1r2	0	0	0	0
Gm16894	0	6	0	0
Gm37347	15	3	1	0
Il1r1	430	808	378	337
Gm38070	0	8	0	2
Il1rl2	435	693	455	282
Gm17970	0	14	0	0
Il1rl1	0	0	0	0
Il18r1	25	12	0	32
Il18rap	0	0	0	0
Gm35801	2	10	0	0
Slc9a4	10	50	0	21
Gm37435	0	17	0	0
Slc9a2	97	222	115	116
Gm37623	0	0	0	0
Gm37915	0	0	0	0
Mfsd9	519	730	182	416
Tmem182	0	16	0	0
Gm5973	0	0	0	0
4930448I06Rik	0	2	0	0
Gm28634	0	2	0	0
Gm29260	0	2	0	0
Gm5267	0	0	0	0
Gm8176	0	0	0	0
Gm9915	0	0	0	0
Gm29664	0	0	0	0
Gm28175	0	0	0	0
Gm28140	0	0	0	0
Gm37047	20	71	7	61
Pantr1	100	164	80	81
4930420N18Rik	0	4	0	16
Pou3f3	7440	12310	7568	6288
Gm20646	0	6	6	0
Pantr2	24	27	8	20
Dalir	0	2	0	0
Mrps9	51	120	37	50
Gm23126	0	0	0	0
Gpr45	0	13	0	55
ENSMUSG00002075628	0	0	0	0
Tgfbrap1	494	898	485	417
Gm28782	0	0	0	0
8430432A02Rik	17	8	0	0
AI597479	66	103	31	99
Fhl2	0	12	0	14
Gm8210	0	1	0	0
Gm29040	48	8	59	8
Gm29610	0	0	0	0
Gm29041	0	0	0	0
Nck2	1191	3455	1307	1360
Gm37536	20	38	16	22
Gm38228	51	69	0	5
Ecrg4	0	8	0	0
Gm29155	0	0	0	4
Gm29157	0	2	0	0
Gm29156	0	4	0	0
Uxs1	144	335	207	198
Gm16103	0	24	0	0
Gm19587	0	4	2	3
Gm8241	0	0	0	0
Gm26352	0	0	0	0
ENSMUSG00002075225	0	0	0	0
Tpp2	473	844	505	500
Mettl21c	0	18	0	0
Gm15838	0	0	0	0
Gm8251	10444	23818	7559	9533
Tex30	59	102	15	100
Gm29247	0	0	0	0
Poglut2	52	26	10	16
Bivm	76	142	185	112
Ercc5	146	283	126	138
Mettl21e	0	0	0	0
Gm15833	0	2	0	0
Gm5700	0	0	0	0
Gm28893	0	12	0	0
Txn-ps1	3	4	1	1
Gulp1	8	2	0	17
Gm37626	0	0	0	0
Gm16102	0	0	0	0
4930521E06Rik	0	0	0	0
Gm38110	0	0	0	1
Gm3489	0	0	0	0
Gm19480	0	0	0	0
Gm3496	0	0	0	0
Gm5268	0	0	0	0
Col3a1	355	813	126	451
ENSMUSG00002074901	0	0	0	0
Col5a2	61	34	0	10
Gm38211	0	0	0	0
Gm8296	0	0	0	0
Gm7063	0	0	0	0
Gm8304	0	0	0	10
Gm23216	0	0	0	0
Gm23974	0	0	0	0
Gm8307	0	0	0	0
Gm23984	0	0	0	0
Wdr75	148	176	42	86
Gm28906	0	0	0	0
Gm5526	0	6	5	3
Gm5269	0	0	0	0
Gm18303	0	0	0	0
Slc40a1	22	21	0	12
Gm9496	0	0	0	0
Rpl23a-ps1	0	0	0	0
Gm3852	0	0	0	0
Stk-ps2	216	640	171	312
Gm18849	0	0	0	0
Dnah7b	1394	2212	1099	1678
n-R5s211	0	0	0	0
Gm8326	2	2	4	8
Dnah7c	1985	2621	917	1777
Slc39a10	464	650	438	454
Gm28151	0	9	0	10
Gm37393	0	0	0	0
Gm28527	1	1	1	0
Gm28825	0	0	0	0
Gm28826	0	0	0	0
Gm4852	1	0	2	0
Gm38090	0	0	0	0
Mir6350	0	0	0	0
Gm18117	0	0	0	0
Gm37196	0	0	0	0
Gm8337	4	5	0	1
ENSMUSG00002075213	0	0	0	0
7SK	0	0	0	0
Gm19206	0	0	0	0
Gm5974	0	0	0	0
Gm23240	0	0	0	0
Gm28830	0	0	0	0
Gm8354	0	0	0	0
Gm19124	0	0	0	16
Gm8357	0	0	0	0
ENSMUSG00002076043	0	0	0	0
Gm28740	0	0	0	0
Gm8367	0	0	0	0
C230029F24Rik	0	0	0	0
Gm6757	0	0	0	0
Gm3605	0	0	0	0
Gm28388	0	0	0	0
Gm8384	0	0	0	0
4933411E06Rik	0	0	0	0
Gm8391	0	0	0	0
ENSMUSG00002075839	0	0	0	0
Gm29665	0	0	0	0
Gm20118	0	0	0	0
7SK	0	0	0	0
Gm28321	10	10	0	0
Tmeff2	0	2	0	0
Gm28322	0	0	0	0
ENSMUSG00002075527	0	0	0	0
Gm28319	0	0	0	0
Gm28320	0	0	0	0
Gm29325	0	0	0	0
9330175M20Rik	0	0	0	0
Cavin2	0	8	0	10
Gm5253	0	0	0	0
1700072G22Rik	0	6	34	0
Nabp1	379	840	522	476
Gm17767	0	0	0	10
Gm37535	0	10	0	0
Gm28055	0	1	0	0
Myo1b	9473	18270	10037	7596
Gm29453	14	84	10	15
Gm28323	74	169	0	32
Gm8419	0	0	0	0
ENSMUSG00002075355	0	2	0	0
Gm8420	0	12	0	0
Stat4	813	1716	597	982
Gm28177	0	2	0	0
Gm3940	0	10	0	0
Gm31812	0	8	0	0
Stat1	155	143	115	50
Gm18301	0	2	0	0
Gls	133	255	135	133
Gm5975	0	0	0	0
Gm23460	0	0	0	0
Nab1	414	865	223	423
Gm5976	16	10	0	0
Rps27a-ps1	0	2	0	0
Gm53065	0	6	0	8
Gm28178	0	0	0	0
Gm5527	0	0	1	6
Nemp2	219	308	153	270
Gm37242	0	4	10	6
Mfsd6	586	1046	720	495
Gm29670	0	4	0	0
Gm28650	0	0	0	0
Inpp1	701	1571	392	770
Hibch	36	203	172	160
Gm16107	0	2	0	0
1700019D03Rik	286	449	231	254
Mstn	0	6	0	0
Gm24349	0	0	0	0
1700019A02Rik	121	100	38	47
Pms1	80	96	67	113
Gm28777	0	0	0	0
Ormdl1	14	22	0	10
Gm28778	0	0	0	0
Osgepl1	0	17	37	11
Gm28551	0	0	0	0
Gm18800	0	0	10	0
Asnsd1	136	192	78	98
Gm50478	0	0	0	0
Gm28779	0	0	0	0
Gm6799	0	0	0	0
Gm6801	0	0	0	0
Dnah7a	2639	3722	1831	2273
ENSMUSG00002076105	0	0	4	0
Stk17b	105	240	90	119
Gm37863	0	0	0	0
Hecw2	138	203	104	76
Mir7681	0	0	0	0
Gm24251	0	0	0	0
Gm37633	0	0	0	0
Gm25829	0	0	0	0
Ccdc150	347	664	231	379
Gtf3c3	100	242	47	157
Gm34066	0	11	0	0
Pgap1	1348	1902	1004	940
Gm36955	0	14	0	16
Gm19637	0	0	22	0
Ankrd44	140	119	22	58
4930444A19Rik	0	4	0	25
Gm37370	0	0	0	0
ENSMUSG00002075552	0	0	0	0
A130048G24Rik	0	4	0	0
Sf3b1	1854	2910	1747	1339
E330011M16Rik	59	83	17	70
Coq10b	130	228	50	93
Gm17971	0	25	0	14
Hspd1	458	864	482	336
Hspe1	92	127	31	133
Gm5147	0	6	0	0
Gm16581	1	14	1	0
Mob4	12	60	0	31
Gm6822	0	0	0	0
Rftn2	142	267	119	176
Gm10561	0	7	0	12
Mars2	90	189	26	151
Boll	414	408	247	237
Gm8292	2	7	2	2
Btf3-ps17	0	0	0	0
Gm8531	0	0	0	0
Plcl1	112	299	173	176
Gm38056	0	13	0	18
Gm6644	0	0	0	0
Gm37382	0	28	0	14
9130227L01Rik	24	0	0	0
Gm36986	0	2	0	0
1700003I22Rik	12	0	0	12
Gm28900	0	0	0	0
Gm28240	0	0	0	0
Hsfy2	137	52	32	60
Satb2	136	214	208	32
9130024F11Rik	0	18	8	4
Gm4081	0	0	0	0
ENSMUSG00002075847	0	0	0	0
1700126A01Rik	0	81	32	57
BC055402	0	0	0	0
Gm5254	1	0	0	0
4930558J18Rik	12	20	0	4
1700066M21Rik	0	52	30	19
Tyw5	6	8	0	0
Maip1	66	64	55	52
Gm22371	0	0	0	0
U1	0	0	0	0
Gm8581	0	0	0	0
Gm37373	0	0	0	0
Gm17929	0	0	0	0
Spats2l	0	16	0	24
Gm17234	0	0	0	0
Kctd18	24	135	0	43
Sgo2a	0	24	0	7
Aox1	130	127	43	88
Aox3	229	326	71	219
Gm24548	0	0	0	1
Aox4	33	34	0	1
Gm15759	0	7	11	0
Aox2	198	410	122	157
Gm37607	32	14	0	18
Bzw1	1090	2239	924	1265
Clk1	228	419	193	221
Ppil3	71	80	96	51
Nif3l1	121	251	93	127
Orc2	116	157	68	76
Gm23966	0	3	0	0
Gm15834	0	20	0	8
Fam126b	167	306	104	183
Ndufb3	62	179	32	85
Gm29389	0	0	0	0
Gm18802	0	4	0	0
Cbx3-ps7	0	0	0	0
Flacc1	201	569	199	296
Gm20257	0	0	0	0
Gm28803	0	1	0	0
Cflar	382	468	86	261
Gm3841	0	0	0	0
Casp8	179	302	120	178
Gm37760	0	12	0	10
Gm28802	28	78	107	76
Trak2	278	437	462	178
Stradb	59	245	102	173
C2cd6	281	540	190	461
ENSMUSG00000047383	0	0	0	0
Gm29018	0	8	0	0
Gm25502	0	0	0	0
Tmem237	74	114	74	113
G730003C15Rik	4	17	0	10
Mpp4	6	31	0	13
Gm29017	0	4	0	0
Gm19125	0	0	0	2
Als2	240	679	273	334
Cdk15	5	19	16	18
Gm29016	0	0	0	0
Gm37737	0	0	0	0
Fzd7	185	298	82	198
Gm26813	0	0	0	0
Gm973	329	703	233	311
Gm28411	17	25	32	20
1700122D07Rik	0	4	0	0
Sumo1	99	252	78	126
7SK	0	0	0	0
D430013B06Rik	0	18	0	0
Gm29596	0	8	0	0
Nop58	92	180	25	77
Snord70	0	0	0	0
Gm26293	0	0	0	0
Gm26287	0	0	0	0
Snord11	0	0	0	0
Bmpr2	962	2420	1628	1070
Gm38125	0	2	0	0
Gm37977	0	2	0	0
Fam117b	2077	2509	2009	1784
Gm37531	0	28	0	0
Gm18829	0	33	0	14
Ica1l	294	656	218	271
Wdr12	282	424	248	257
Carf	193	366	219	219
Gm15464	0	0	0	1
Nbeal1	808	1085	557	422
Gm29332	0	0	0	0
Cyp20a1	267	294	117	160
6030460B20Rik	0	2	0	0
Abi2	393	712	459	232
Raph1	169	484	107	161
Gm11575	0	0	0	0
Gm11576	0	0	0	0
Gm11578	0	0	0	0
Gm38388	0	0	0	0
ENSMUSG00002075076	0	2	0	0
Gm11577	0	0	0	0
Eif4a-ps4	222	92	80	66
Cd28	0	2	0	0
