GeneId	ERR2012000_ctrol1	ERR2012001_ctrol2	ERR2012003_ctrol3	ERR2012004_ctrol4	ERR2012005_msus1	ERR2012006_msus2	ERR2012007_msus3	ERR2012008_msus4	ERR2012009_msus5	ERR2012010_msus6
Gm37143	29	1	5	3	0	6	2	0	0	0
Gm6187	0	0	2	0	0	0	0	2	1	0
Gm18299	15	0	0	0	0	0	1	6	1	0
Gm7512	1	0	0	0	0	0	0	2	1	0
Gm24765	0	0	0	0	0	0	0	0	0	0
Gm18300	25	1	2	3	0	0	1	0	1	0
Rrs1	48	24	33	17	21	61	72	78	107	39
Adhfe1	37	11	29	11	17	52	72	20	91	21
2610203C22Rik	93	4	18	15	5	19	12	7	33	2
Gm6161	0	0	0	0	0	1	0	0	0	0
Vxn	38	0	1	1	1	17	23	7	5	0
Gm29520	13	2	4	0	0	6	1	0	2	0
Mybl1	66	17	18	29	16	27	31	45	51	15
Vcpip1	118	37	146	94	60	213	264	190	309	56
1700034P13Rik	36	2	5	7	1	13	6	5	11	2
Sgk3	39	38	107	67	35	168	128	152	195	31
Gm6195	0	0	0	0	0	0	0	0	0	0
U6	0	0	0	0	0	0	0	5	2	0
Mcmdc2	33	6	10	19	4	22	15	18	17	1
Snhg6	7	4	21	6	15	6	37	30	31	15
Snord87	0	1	0	0	0	2	0	0	0	0
Tcf24	48	10	33	13	16	59	62	40	62	6
E330040D14Rik	0	0	0	0	0	2	2	0	1	0
Ppp1r42	24	2	9	9	6	9	8	18	18	7
Gm15818	21	1	0	0	0	0	2	0	2	0
Gm24674	0	0	0	0	0	0	0	0	1	0
Cops5	69	41	115	75	88	154	236	225	295	73
Cspp1	146	99	228	86	49	166	128	199	272	38
1700047N06Rik	0	1	3	0	1	0	5	8	2	0
Arfgef1	470	221	573	429	284	959	1087	862	1533	261
7SK	0	0	0	1	2	1	0	6	0	0
Gm37569	13	2	1	1	0	0	1	5	1	0
Cpa6	32	6	5	0	0	15	5	11	8	3
Gm38005	20	2	1	0	0	0	3	0	6	0
Gm15604	32	0	3	2	0	0	1	5	0	0
Gm25253	0	0	0	0	0	0	0	0	0	0
Gm15603	0	0	0	2	0	0	0	4	3	0
Gm37133	11	4	3	0	0	0	1	5	2	0
Gm5522	6	3	1	1	1	6	2	0	4	0
Gm28659	6	0	0	0	0	0	1	0	2	0
SNORA66	1	0	0	0	0	0	0	0	0	0
Prex2	186	56	204	253	154	874	874	858	1180	160
Gm24173	0	0	0	0	0	0	0	0	0	0
Gm28686	0	0	0	0	0	0	0	5	0	0
Gm37410	19	4	3	3	0	12	2	7	1	0
A830018L16Rik	44	3	2	15	8	21	23	23	12	7
Gm38178	9	0	0	0	0	0	0	0	1	0
Gm29273	0	0	0	0	0	0	0	0	2	0
Gm38069	5	1	1	6	0	11	1	10	2	5
Gm7560	5	0	0	2	0	0	1	0	0	0
Gm22633	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0
Gm2383	0	0	0	2	0	0	0	0	0	0
Gm6216	9	0	0	4	0	0	0	0	0	0
Gm17644	25	3	1	0	0	0	2	15	1	2
Gm29663	12	0	3	0	0	0	0	5	0	0
Sulf1	156	27	37	25	11	26	46	54	49	8
Slco5a1	81	4	9	17	2	18	2	9	1	7
Gm37162	0	0	2	0	0	0	0	0	0	0
Gm5250	0	0	0	3	0	0	0	0	1	0
Gm29283	4	2	2	0	0	1	0	0	0	0
Prdm14	28	2	5	1	0	5	2	4	0	11
Ncoa2	627	321	496	330	250	857	778	1026	1575	186
Gm38376	21	0	0	0	0	0	2	2	1	0
Gm37409	12	3	0	1	0	1	1	6	3	2
ENSMUSG00002076346	0	0	0	0	0	0	0	0	0	0
Gm38223	17	0	0	0	1	0	0	2	0	0
Gm37702	5	2	2	0	0	0	2	11	1	0
Gm23169	0	0	0	0	0	0	0	0	0	0
Gm38120	10	2	2	6	0	33	7	9	5	0
Gm38380	25	1	4	0	1	5	2	3	0	0
Gm29570	3	0	1	0	0	0	0	0	1	0
Gm7593	6	0	0	0	0	3	0	0	0	0
Tram1	638	293	883	495	355	1172	1321	1156	1633	225
Lactb2	114	43	104	90	61	207	210	133	250	51
Gm38319	13	0	0	0	0	0	1	0	0	0
Xkr9	15	1	19	0	0	8	1	3	3	0
Gm26273	0	0	0	0	0	0	0	0	0	0
Gm5523	25	0	1	1	0	5	0	7	2	0
Gm36947	26	1	9	0	0	0	1	13	3	0
7SK	10	1	0	0	0	0	0	0	0	0
Gm37400	29	7	3	6	0	9	1	18	0	0
Eya1	60	3	6	1	4	16	9	21	8	1
ENSMUSG00002075819	0	0	0	0	0	0	1	0	0	0
Gm37444	0	0	1	0	0	3	1	0	0	0
Gm9947	10	1	0	0	0	7	4	1	2	0
Msc	18	1	2	0	2	5	0	0	1	0
Gm37412	30	1	1	0	0	0	1	7	3	0
Smt3h2-ps4	0	0	0	0	0	0	0	0	0	0
Rpl5-ps1	6	1	0	0	1	0	1	1	0	0
Trpa1	35	3	0	3	0	9	1	8	1	0
Gm26345	0	0	0	0	0	0	0	0	0	0
Gm10566	0	0	0	0	0	0	0	2	0	0
Kcnb2	84	12	16	22	14	65	19	35	32	5
Gm38116	21	1	3	0	0	1	3	0	1	0
Gm37138	0	0	0	0	0	3	4	3	1	0
Gm25227	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0
Gm6060	0	0	3	0	0	0	0	0	1	0
Gm28669	0	0	0	0	0	0	0	0	0	0
Terf1	11	12	18	24	14	54	33	39	45	13
Gm37509	17	0	0	1	1	2	0	0	0	0
Sbspon	4	0	2	0	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0
Gm7634	14	0	0	0	0	0	0	0	0	0
4930444P10Rik	11	0	1	6	1	1	7	5	11	0
Rpl7	1068	609	1435	865	824	2455	2997	2385	4306	715
Rdh10	20	12	69	10	8	36	23	43	38	12
Gm38249	3	4	6	1	0	5	1	8	7	0
Gm28095	26	1	2	0	0	4	0	0	2	2
Stau2	105	52	122	84	76	276	253	233	382	58
Gm7568	6	8	26	4	2	0	11	4	3	0
Ube2w	73	52	113	87	79	221	263	140	256	58
Gm38342	6	5	14	8	1	0	2	25	9	0
Eloc	47	35	109	55	38	210	219	107	196	33
D030040B21Rik	31	2	5	0	2	7	3	8	1	0
Idi1-ps5	0	0	0	0	0	0	1	2	0	0
Tmem70	60	16	40	34	25	23	50	75	73	13
Ly96	5	7	9	12	10	26	12	2	19	13
Gm29649	14	1	0	0	0	0	0	0	0	0
Gm5828	17	0	1	1	2	0	1	18	1	3
Gm28376	0	0	0	0	0	0	1	0	0	0
4921511E07Rik	12	0	0	0	0	0	0	13	1	0
Jph1	50	6	15	11	7	35	25	26	38	11
Gm28783	2	0	0	0	0	0	0	1	0	0
Gdap1	74	6	10	9	4	11	20	23	11	3
Gm28784	8	2	2	0	0	0	0	6	0	0
Gm28785	0	1	0	1	0	3	1	0	0	0
Gm5251	3	0	1	0	0	8	0	0	0	0
Rbm6-ps1	22	3	0	2	2	7	1	19	6	0
Gm6075	12	1	0	0	0	11	0	3	0	0
Gm25166	0	0	0	0	0	0	0	0	0	0
Pi15	79	14	33	7	3	51	24	31	20	13
Gm28154	12	4	0	3	0	6	0	8	1	11
Gm16070	44	0	3	7	1	8	0	14	4	1
Crispld1	60	21	68	12	13	87	81	63	53	10
Gm28153	0	0	0	0	0	0	0	0	0	0
Gm7690	0	1	0	0	0	0	1	12	0	0
Gm18775	6	0	0	0	0	0	0	0	0	0
Gm17969	14	1	3	3	0	0	1	0	3	0
Gm28756	8	1	0	0	0	2	1	0	0	0
Gm28755	17	0	0	0	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0	0	0	0	0
Crisp4	214	116	362	172	191	533	545	359	571	74
Defb44-ps	0	0	0	0	1	2	4	0	0	0
Defb18	76	124	373	320	325	877	1123	682	868	439
Defb41	392	211	731	431	365	1467	1649	970	1327	439
Gm17837	20	6	8	10	8	25	19	34	31	16
Gm5252	29	0	0	0	0	1	0	4	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	3	0	0	6	0	5	0	0
Gm28344	0	0	1	0	0	0	0	0	0	0
Gm15825	1	1	1	0	0	0	0	0	0	0
Tfap2d	19	1	2	4	0	0	1	5	1	0
Gm10075	15	0	0	0	0	0	0	0	0	0
Tfap2b	145	56	173	75	62	169	210	195	324	69
Gm28340	1	0	2	2	0	0	3	0	2	4
Gm28341	0	0	1	0	0	0	0	0	0	0
Gm4849	10	1	1	1	3	8	2	0	4	0
SNORD29	0	0	0	0	0	0	0	0	0	0
Gm38382	15	0	0	4	0	1	1	5	2	0
Pkhd1	181	57	247	112	91	268	266	282	343	61
Gm37315	25	2	7	2	0	13	4	5	8	18
4930486I03Rik	0	1	2	7	5	6	8	0	5	0
Gm15795	0	0	0	0	0	0	0	0	0	0
Gm24162	0	0	0	0	0	0	0	0	0	0
Lincmd1	14	2	5	6	0	3	2	2	3	0
Mir206	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0
Il17a	7	0	0	4	0	0	0	13	1	0
Il17f	10	3	0	1	0	4	1	2	1	0
Mcm3	71	22	51	35	19	75	51	67	91	16
Gm20587	11	0	1	0	0	0	0	8	1	0
Gm28065	14	0	1	0	0	0	2	0	0	0
Gm24723	0	0	0	1	0	0	0	0	0	0
6720483E21Rik	0	0	2	1	0	0	0	0	3	0
Paqr8	30	6	19	18	9	80	47	49	17	0
Gm24171	0	0	3	0	0	0	0	0	0	0
Gm28064	8	1	0	0	0	4	0	1	1	0
Efhc1	7	9	17	16	11	36	24	60	65	1
Tram2	63	17	19	10	6	41	23	40	42	10
Gm28287	0	0	0	0	0	0	1	0	0	0
Gm2693	12	0	3	2	0	0	0	0	0	0
Tmem14a	7	5	15	2	3	6	17	9	16	4
Gm38224	9	1	1	0	0	0	3	4	0	0
Gsta3	94	37	122	79	49	192	189	193	273	82
Gm28836	0	0	0	0	0	0	0	0	0	0
Gm7094	30	0	0	2	0	0	0	0	1	0
Gm4956	13	11	21	6	9	29	17	30	48	9
Gm21909	0	0	6	1	0	14	2	0	8	0
Khdc1a	34	17	24	18	20	29	24	35	54	0
Gm16329	7	0	0	0	1	6	0	7	1	1
Gm16327	0	0	0	0	0	0	0	0	1	0
Khdc1c	13	1	0	0	0	0	0	6	1	0
Gm2709	4	2	1	1	0	0	0	0	0	0
Gm16533	0	0	0	0	0	0	2	0	2	1
Khdc1b	7	5	1	2	0	1	2	0	0	0
Gm16328	0	0	0	0	0	0	0	0	0	0
Kcnq5	44	3	2	9	1	21	18	9	5	0
Gm36949	12	1	6	5	0	5	0	0	0	0
Gm7658	1	0	0	0	0	0	1	0	0	0
Gm38243	8	0	0	0	0	2	1	9	1	0
Gm5696	0	1	0	0	0	0	0	2	0	0
Gm28239	15	0	0	0	0	0	0	0	2	0
Rims1	79	17	16	18	9	55	56	64	35	5
Gm26866	0	0	0	0	0	0	1	4	0	0
Gm7761	8	3	3	2	1	0	2	0	1	0
Gm29506	17	2	0	0	0	3	2	0	2	0
Ppp1r14bl	652	558	525	1074	1018	840	1182	1487	2776	226
Gm24176	0	0	0	0	0	2	0	0	0	0
Gm6420	5	0	1	0	0	2	1	1	2	3
Mir30a	0	0	1	0	0	0	0	0	0	0
Gm27028	5	0	0	0	0	0	1	0	1	0
Mir30c-2	0	0	0	0	0	0	0	0	0	0
Gm29107	0	0	0	0	1	0	0	0	0	1
Gm20954	2	0	0	0	0	0	1	1	0	0
Ogfrl1	130	43	104	62	40	125	148	145	172	12
Gm7784	0	0	0	0	2	0	0	0	0	0
Gm28822	15	2	0	0	0	0	1	0	2	0
B3gat2	6	2	2	3	1	4	3	1	2	0
Smap1	86	56	127	70	75	79	101	192	307	41
Sdhaf4	2	5	29	25	15	53	61	42	60	19
Gm26524	0	0	0	0	0	0	1	0	0	0
Fam135a	127	39	69	49	34	112	119	86	134	33
Gm37580	17	1	2	1	1	3	2	6	3	0
Gm26607	19	0	0	0	0	0	1	0	0	0
Col9a1	34	3	4	3	3	12	1	17	8	2
Col19a1	27	1	5	6	0	22	12	29	12	1
Gm26418	6	0	0	0	0	0	0	0	0	0
Tubb4b-ps2	6	2	0	0	0	0	0	0	3	0
Gm28439	1	6	12	10	0	15	3	2	4	0
Gm10222	1	1	2	4	0	1	1	0	0	9
Gm28438	23	5	8	11	1	15	4	7	13	4
Gm28437	4	1	0	4	0	2	1	4	6	0
Gm10925	0	5	7	0	0	2	1	3	2	0
Gm28661	7	2	7	2	2	0	6	3	15	2
Gm29216	59	8	23	5	5	5	9	8	9	1
Lmbrd1	122	61	135	87	65	226	205	132	190	74
Gm28594	16	0	3	1	0	2	0	0	0	0
Gm28237	13	0	0	0	0	4	0	7	2	2
Gm9443	6	1	3	0	0	0	0	0	1	0
Gm29414	3	0	0	0	0	0	0	0	1	0
Adgrb3	179	21	15	31	8	61	62	32	37	1
Gm15702	0	0	0	0	0	0	0	0	0	0
Gm20172	13	1	1	9	0	2	4	10	5	0
Gm22260	0	0	0	0	0	0	0	0	0	0
Gm37543	11	0	2	0	0	0	0	0	1	0
Gm37331	19	1	0	0	0	5	6	3	3	3
Gm37211	41	0	1	3	0	9	5	5	2	0
Gm37862	13	1	3	0	0	0	2	9	2	0
Gm38286	19	0	0	1	0	3	5	1	5	0
Gm37880	50	4	3	6	0	3	1	0	0	2
Gm25294	6	0	0	0	0	0	0	0	0	0
Gm37011	0	1	0	1	0	6	6	8	6	0
Gm29214	18	0	0	0	0	0	0	0	0	0
Gm37051	13	1	1	5	0	0	6	0	4	0
Gm38260	26	3	1	14	2	0	12	19	3	1
Gm37628	26	2	3	1	2	10	14	9	11	0
8030445P17Rik	7	3	2	0	0	10	3	4	7	0
Gm38198	21	1	5	4	0	20	15	3	1	0
Gm37077	21	1	6	6	1	0	10	2	9	0
Gm37895	48	1	1	9	1	21	21	10	7	0
Gm36952	18	3	5	1	1	8	12	6	2	0
Gm37602	5	0	1	8	1	15	10	8	0	0
2900022M07Rik	3	0	0	0	0	6	4	4	1	0
2900002M20Rik	12	1	1	3	0	0	3	0	4	0
Gm9884	10	1	0	0	1	3	0	5	0	0
Gm18443	10	0	1	0	0	0	0	0	0	0
Gm19123	0	1	2	2	0	0	0	0	1	0
Gm24064	9	0	0	0	0	2	0	0	0	0
4931408C20Rik	134	81	415	21	25	53	30	84	125	9
n-R5s209	1	0	1	0	2	0	1	0	5	0
Gm19641	3	0	0	0	0	0	0	0	0	0
Gm5524	0	1	2	1	0	0	1	0	0	4
Gm18776	0	0	0	0	0	0	0	0	0	0
Gm19028	20	1	2	0	0	0	0	10	1	0
Gm38089	23	0	2	3	2	6	6	9	3	0
Gm7846	0	0	0	0	0	0	1	0	0	1
Gm597	31	5	17	6	6	6	12	34	19	4
Gm5697	9	3	4	11	0	4	0	4	3	0
Gm6462	0	0	0	0	0	0	0	0	0	0
Gm18033	0	0	0	0	0	2	0	0	0	0
Y_RNA	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076857	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074912	0	1	0	0	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0	0	4	0	0
Gm5525	0	0	0	0	0	1	0	1	0	0
Gm53035	27	1	0	0	0	9	0	0	0	0
Gm7858	0	0	0	1	0	0	2	0	4	1
ENSMUSG00002075317	0	0	0	0	0	0	2	0	0	0
ENSMUSG00002075289	0	0	0	0	0	0	0	0	0	0
Gm9898	0	0	0	0	0	0	0	0	0	0
Gm6473	25	0	0	0	1	3	1	0	1	0
Gm2914	0	0	0	0	0	0	0	0	0	0
Phf3	256	121	224	183	113	389	388	403	609	133
Gm37522	28	4	3	0	0	11	4	5	1	0
Gm37906	25	0	2	3	1	20	2	0	1	3
Ptp4a1	2	2	2	0	6	3	7	0	17	9
Ptp4a1	0	0	1	0	0	3	0	1	0	0
Gm5698	9	0	0	0	0	7	0	4	0	0
Gm9458	4	0	0	0	0	0	0	0	0	0
4931428L18Rik	17	5	6	4	4	10	6	29	19	1
Gm28644	22	0	0	0	0	0	0	3	0	0
5S_rRNA	0	1	0	0	0	0	0	2	1	0
Gm29128	0	2	3	1	0	0	1	6	3	0
Gm7893	12	0	0	0	0	3	0	0	0	0
Lgsn	22	0	0	0	0	1	1	0	2	0
Dnaaf6	9	0	1	1	1	5	2	0	3	0
Gm26145	0	0	0	0	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0	0	0	0	0
Gm28645	0	0	0	1	0	0	0	0	0	0
Gm6489	6	0	0	0	0	0	0	2	0	0
Eef1a1-ps2	8	2	0	1	0	0	3	0	1	0
Gm19680	0	0	1	0	0	0	0	0	0	0
Gm23032	0	0	0	0	0	0	0	0	0	0
Gm7910	3	3	0	0	0	1	2	0	1	0
Khdrbs2	45	5	2	8	2	0	5	28	8	0
Gm25814	0	0	0	0	0	0	0	0	0	0
Gm37999	18	3	0	3	0	2	4	3	1	0
Gm37110	0	0	0	0	0	0	0	0	0	0
Gm37911	10	0	1	0	0	0	1	0	3	0
Gm9839	0	0	1	0	0	0	0	2	2	0
Gm37792	8	2	0	2	0	2	3	2	4	0
Semp2l1	21	1	7	0	4	1	3	3	6	1
Gm24732	0	1	0	0	0	0	0	0	0	0
Gm37426	12	2	3	1	0	7	1	1	4	0
7SK	0	0	0	0	0	0	0	0	0	0
Gm37151	56	1	3	9	0	11	0	11	6	12
Gm28624	0	3	2	0	0	4	1	2	2	2
Gm37724	0	0	0	0	0	0	0	0	0	0
Gm7114	28	4	1	0	0	5	0	6	1	0
Gm4785	4	0	1	1	0	5	0	0	0	0
Gm24901	0	0	0	0	0	0	0	0	0	0
Gm37591	0	0	0	0	0	10	0	0	0	0
Gm2987	4	0	0	0	0	4	2	0	2	0
Gm25792	0	0	0	0	0	0	0	0	0	0
Gm18799	21	0	0	0	0	2	1	0	0	0
Gm7933	12	0	3	3	0	0	0	7	0	0
Gm23453	0	0	0	0	0	0	0	0	0	0
Prim2	198	149	82	67	58	112	143	229	286	63
Gm29228	0	0	1	0	0	0	0	2	0	0
Gm37618	20	1	3	0	0	9	3	4	1	0
Gm17813	0	0	0	0	0	0	0	0	0	0
1700001G17Rik	1	1	3	4	3	5	2	0	5	4
Gm38173	27	4	2	0	0	0	1	4	1	0
Rab23	74	22	27	30	9	38	35	75	82	4
Bag2	25	23	48	37	21	109	98	136	150	43
Gm37905	0	0	0	0	0	0	0	0	0	0
Zfp451	189	108	191	175	143	311	331	393	507	76
Gm15455	0	1	0	0	0	5	0	9	0	0
Bend6	28	3	1	1	7	22	21	17	14	3
Gm37067	3	0	2	9	0	3	0	5	0	0
Dst	979	375	613	350	245	939	791	1079	1463	157
Gm37354	22	2	4	4	0	2	3	0	8	3
Gm28631	0	0	0	0	2	1	0	0	0	0
Gm23792	0	0	0	0	0	0	0	0	0	0
Gm38157	11	1	3	0	0	0	1	0	2	0
Mir6896	0	0	2	0	0	0	0	0	0	0
Gm26788	25	0	4	2	0	0	1	6	6	0
A930005N03Rik	0	1	0	0	0	0	0	10	1	0
Gm37958	0	0	0	0	0	4	0	0	0	0
Gm37385	0	0	0	0	0	0	0	0	0	0
Gm5266	19	2	1	0	0	0	1	0	0	0
Gm3052	12	1	1	0	0	1	0	2	1	0
Gm37233	32	3	11	8	6	24	13	42	24	0
Mir5103	0	0	0	0	0	0	0	0	0	0
Ccdc115	34	29	46	46	16	119	103	63	122	16
Gm28306	0	0	0	0	0	0	0	0	0	0
Imp4	129	36	74	34	35	117	169	166	223	50
Ptpn18	32	11	51	12	25	37	76	40	73	25
Gm28417	7	1	2	5	0	0	4	1	2	0
4930568A12Rik	9	1	3	6	2	10	2	13	11	0
Prss39	178	51	57	87	106	134	121	168	393	21
Gm28416	8	0	0	0	0	0	0	3	0	0
Cfc1	5	0	1	0	0	0	0	1	2	0
Gm28419	2	0	0	0	0	0	0	0	0	0
Prss40	17	6	11	32	30	11	33	30	60	4
1700101I19Rik	10	3	1	0	1	0	4	3	9	0
Amer3	17	2	7	2	0	6	2	2	7	0
Gm28418	0	0	0	0	0	0	1	0	0	0
Gm36984	0	0	0	0	0	0	0	0	0	0
Gm29730	16	1	0	0	0	3	2	0	0	0
AA619741	6	0	0	1	0	10	1	0	2	0
Arhgef4	99	10	34	47	26	64	77	75	122	18
Gm37224	0	0	0	0	0	0	0	0	0	0
Gm37845	0	0	0	1	0	0	0	5	0	3
SMIM39	0	0	0	0	0	0	0	0	0	0
Gm38336	0	1	0	0	0	0	1	14	1	0
Fam168b	244	168	306	198	157	659	599	644	965	127
Gm37127	22	0	0	1	0	0	1	0	2	9
Plekhb2	285	102	307	147	112	587	567	421	720	121
Gm19430	17	1	0	0	0	3	1	4	0	0
Gm37670	9	0	0	0	1	0	0	3	0	0
Gm8009	0	0	0	0	0	4	0	0	1	0
Gm38027	7	0	0	0	0	0	0	0	0	0
Gm25096	0	0	0	0	0	0	1	0	0	0
Gm37068	10	1	1	0	1	4	0	2	1	0
Gm25634	0	0	0	0	0	0	0	0	0	0
Gm28415	0	0	1	0	0	0	0	0	0	0
1110002O04Rik	0	0	0	0	1	0	0	0	1	0
Gm8022	15	0	2	1	0	0	0	0	0	0
Gm37146	2	0	0	0	0	5	0	2	2	0
Gm33222	3	0	1	0	0	0	2	3	3	0
4930535G08Rik	8	0	0	0	0	0	0	0	0	0
Gm38049	1	0	0	7	0	0	1	0	1	0
Hs6st1	89	50	91	50	33	98	152	90	211	34
Gm37335	0	0	0	0	0	0	0	0	0	0
Gm33280	16	2	8	2	1	4	7	10	5	0
Uggt1	722	325	952	432	279	1006	1039	921	1170	346
Mir6897	0	0	0	0	0	0	0	0	1	0
Neurl3	75	30	67	32	14	54	79	55	113	25
Arid5a	94	21	15	31	6	57	27	27	33	1
4930403P22Rik	0	1	2	6	4	7	6	10	9	0
Kansl3	171	82	177	100	84	250	275	380	576	66
Mir6898	0	0	0	0	0	0	0	0	0	0
Fer1l5	59	40	44	31	15	48	44	68	69	29
Lman2l	137	25	83	25	18	19	75	78	91	24
Cnnm4	78	15	34	13	10	41	51	17	47	0
Gm37909	33	1	1	0	0	7	1	6	1	4
ENSMUSG00002075980	0	0	0	0	0	0	0	0	0	0
Cnnm3	78	18	74	15	14	60	68	45	97	26
Gm38033	0	0	0	0	0	0	0	0	0	0
Ankrd23	0	1	2	0	1	3	0	3	2	0
Gm42417	0	0	0	0	0	0	0	0	0	0
Ankrd39	24	6	7	6	8	24	26	40	39	0
Sema4c	55	27	31	21	20	63	60	19	88	7
