GeneId	Mouse-SRR3480379_trimmed	Mouse-SRR3480380_trimmed	Mouse-SRR3480381_trimmed	Mouse-SRR3480382_trimmed
Khdc1c	0	0	0	0
Gm2709	0	0	0	0
Gm16533	0	0	0	0
Khdc1b	0	0	1	1
Gm16328	0	0	0	0
Kcnq5	0	0	0	0
Gm36949	0	0	0	0
Gm7658	0	0	1	0
Gm38243	0	0	0	0
Gm5696	0	0	0	0
Gm28239	0	0	0	0
Rims1	6	4	8	10
Gm26866	0	0	0	0
Gm7761	0	0	0	0
Gm29506	0	0	0	0
Ppp1r14bl	9	216	78	79
Gm24176	0	0	0	0
Gm6420	0	0	0	0
Mir30a	3	169	13	8
Gm27028	0	0	2	2
Mir30c-2	0	0	0	0
Gm29107	0	0	0	0
Gm20954	0	0	0	0
Ogfrl1	5	3	8	6
Gm7784	0	0	0	0
Gm28822	0	0	0	0
B3gat2	0	0	2	1
Smap1	9	33	39	25
Sdhaf4	4	2	8	3
Gm26524	0	0	0	0
Fam135a	40	16	54	50
Gm37580	0	0	0	2
Gm26607	0	0	0	0
Col9a1	0	0	1	0
Col19a1	1	0	2	2
Gm26418	0	0	0	0
Tubb4b-ps2	3	0	1	0
Gm28439	8	7	2	7
Gm10222	1	2	1	2
Gm28438	1	14	6	3
Gm28437	60	2	5	3
Gm10925	13	0	0	0
Gm28661	16	1	0	0
Gm29216	9	9	2	2
Lmbrd1	22	23	80	34
Gm28594	0	0	0	0
Gm28237	0	0	0	0
Gm9443	0	0	0	0
Gm29414	0	0	0	0
Adgrb3	0	0	1	6
Gm15702	0	0	0	0
Gm20172	0	0	0	0
Gm22260	0	0	0	0
Gm37543	0	0	0	0
Gm37331	0	0	0	0
Gm37211	0	0	0	0
Gm37862	0	0	0	0
Gm38286	0	0	0	0
Gm37880	0	0	0	0
Gm25294	0	0	0	0
Gm37011	0	0	0	0
Gm29214	0	0	0	0
Gm37051	0	0	0	1
Gm38260	0	0	0	0
Gm37628	0	0	0	0
8030445P17Rik	0	0	0	0
Gm38198	0	0	0	0
Gm37077	0	0	0	0
Gm37895	0	0	0	0
Gm36952	0	0	0	0
Gm37602	0	0	0	0
2900022M07Rik	0	0	0	0
2900002M20Rik	0	0	0	0
Gm9884	0	0	0	0
Gm18443	0	0	0	0
Gm19123	0	0	0	0
Gm24064	0	0	0	0
4931408C20Rik	0	0	2	9
n-R5s209	0	0	5	1
Gm19641	0	0	0	0
Gm5524	0	0	0	0
Gm18776	0	0	0	0
Gm19028	0	0	0	0
Gm38089	0	0	0	0
Gm7846	0	0	0	0
Gm597	0	3	1	2
Gm5697	0	1	0	0
Gm6462	0	0	0	0
Gm18033	0	0	0	0
Y_RNA	0	0	0	0
ENSMUSG00002076857	0	0	0	0
ENSMUSG00002074912	0	0	0	0
Mir6342	0	0	0	0
Gm5525	1	2	2	2
Gm53035	0	0	0	0
Gm7858	0	0	0	0
ENSMUSG00002075317	0	0	0	0
ENSMUSG00002075289	0	0	0	0
Gm9898	0	0	0	0
Gm6473	0	0	1	0
Gm2914	0	0	0	0
Phf3	28	18	109	69
Gm37522	0	0	5	2
Gm37906	2	0	10	2
Ptp4a1	1	0	4	4
Ptp4a1	0	0	0	0
Gm5698	0	0	0	0
Gm9458	0	0	0	0
4931428L18Rik	1	0	4	2
Gm28644	0	0	0	0
5S_rRNA	0	0	0	0
Gm29128	0	1	0	4
Gm7893	0	0	0	0
Lgsn	0	0	0	0
Dnaaf6	0	0	0	0
Gm26145	0	0	0	0
Gm4850	0	0	0	0
Gm28645	0	0	0	0
Gm6489	0	0	0	0
Eef1a1-ps2	0	0	0	0
Gm19680	0	0	1	0
Gm23032	0	0	0	0
Gm7910	0	0	0	0
Khdrbs2	0	0	2	0
Gm25814	0	0	0	0
Gm37999	0	0	1	0
Gm37110	0	0	0	0
Gm37911	0	0	0	0
Gm9839	0	0	2	0
Gm37792	0	0	0	0
Semp2l1	0	1	0	1
Gm24732	0	0	0	0
Gm37426	0	0	0	0
7SK	0	0	0	0
Gm37151	0	0	0	0
Gm28624	0	0	0	0
Gm37724	0	0	0	0
Gm7114	1	0	0	0
Gm4785	0	0	0	0
Gm24901	0	0	0	0
Gm37591	0	0	0	0
Gm2987	0	0	0	0
Gm25792	0	0	0	0
Gm18799	0	0	0	0
Gm7933	0	0	0	1
Gm23453	0	0	0	0
Prim2	8	14	73	36
Gm29228	0	0	0	0
Gm37618	2	1	1	2
Gm17813	0	0	0	0
1700001G17Rik	1	0	0	1
Gm38173	0	0	1	1
Rab23	2	12	32	5
Bag2	1	3	26	29
Gm37905	0	0	2	3
Zfp451	8	41	148	64
Gm15455	0	0	0	0
Bend6	1	0	0	2
Gm37067	0	0	0	0
Dst	218	92	429	281
Gm37354	0	0	0	0
Gm28631	0	0	0	0
Gm23792	0	0	1	0
Gm38157	0	0	0	3
Mir6896	0	0	0	0
Gm26788	2	0	5	0
A930005N03Rik	0	0	5	1
Gm37958	0	0	0	0
Gm37385	0	0	0	0
Gm5266	0	0	0	0
Gm3052	0	0	1	0
Gm37233	0	0	10	2
Mir5103	0	0	0	0
Ccdc115	5	1	19	5
Gm28306	0	0	0	0
Imp4	16	4	32	12
Ptpn18	3	1	8	5
Gm28417	2	0	0	0
4930568A12Rik	0	0	0	1
Prss39	2	25	20	21
Gm28416	0	0	0	0
Cfc1	0	0	0	0
Gm28419	0	0	0	0
Prss40	0	2	0	2
1700101I19Rik	1	0	2	3
Amer3	1	0	0	1
Gm28418	0	0	0	0
Gm36984	0	0	0	0
Gm29730	0	0	0	0
AA619741	4	0	0	0
Arhgef4	3	14	56	11
Gm37224	0	0	0	0
Gm37845	0	0	0	0
SMIM39	0	0	0	0
Gm38336	1	0	4	3
Fam168b	37	57	227	62
Gm37127	2	1	8	5
Plekhb2	112	15	73	16
Gm19430	0	1	0	0
Gm37670	0	0	0	0
Gm8009	0	0	0	0
Gm38027	0	0	0	0
Gm25096	0	0	0	0
Gm37068	0	0	0	0
Gm25634	0	0	0	0
Gm28415	0	0	0	0
1110002O04Rik	0	0	0	0
Gm8022	3	4	27	8
Gm37146	0	0	0	0
Gm33222	0	0	2	0
4930535G08Rik	0	0	0	0
Gm38049	0	0	0	0
Hs6st1	26	6	138	25
Gm37335	0	0	0	0
Gm33280	1	5	2	2
Uggt1	84	153	862	363
Mir6897	0	0	0	1
Neurl3	117	10	15	4
Arid5a	6	15	30	11
4930403P22Rik	1	0	0	0
Kansl3	44	51	237	144
Mir6898	0	0	0	0
Fer1l5	1	12	42	28
Lman2l	7	3	46	13
Cnnm4	80	6	25	14
Gm37909	2	0	5	3
ENSMUSG00002075980	0	0	0	0
Cnnm3	11	10	47	24
Gm38033	0	0	0	0
Ankrd23	0	0	2	2
Gm42417	0	0	0	0
Ankrd39	2	5	7	7
Sema4c	4	11	27	5
D430040D24Rik	1	0	3	0
Fam178b	2	23	43	27
Gm6428	0	0	1	1
ENSMUSG00002075377	0	0	0	0
Cox5b	31	20	23	15
Actr1b	39	20	106	49
4933424G06Rik	1	0	4	1
Gm33533	0	0	0	0
Zap70	5	1	24	1
Gm18828	0	0	0	0
Tmem131	72	24	154	53
Gm37506	0	0	2	0
Gm38115	3	0	0	0
F830112A20Rik	6	0	2	1
Rpl12-ps1	0	0	0	0
n-R5s210	0	0	1	0
Vwa3b	3	51	88	105
Gm37020	0	0	0	0
Cnga3	0	0	6	1
1700074A21Rik	0	0	0	1
Inpp4a	37	22	45	20
4930439A04Rik	2	0	0	0
Gm37135	0	0	2	1
Coa5	31	19	64	20
Unc50	5	3	43	11
Mgat4a	245	24	22	8
4930594C11Rik	8	0	0	0
Gm43213	2	0	0	0
Cracdl	20	20	165	61
4930556I23Rik	0	0	2	2
4930470B04Rik	0	1	7	2
Gm19863	0	1	17	8
Tsga10	6	76	78	46
Gm26805	0	0	0	0
Lipt1	4	0	10	4
Mitd1	4	1	17	3
Mrpl30	21	9	79	32
Lyg2	0	0	2	2
Gm15457	0	0	0	0
Lyg1	0	0	0	0
7SK	0	0	0	0
Txndc9	13	15	36	19
Eif5b	35	42	121	58
Rev1	6	45	80	53
Gm37062	0	0	0	0
Gm5099	0	0	2	1
Aff3	4	8	7	6
Gm16150	0	0	0	2
Gm16151	1	0	0	0
Gm16152	0	0	0	0
Gm34727	0	0	0	0
Gm38135	0	0	0	0
2610300A13Rik	0	0	0	0
Lonrf2	1	0	16	11
Chst10	0	31	78	39
Gm37707	0	0	0	2
Gm6621	0	0	0	3
Nms	0	0	0	0
Pdcl3	30	10	26	6
Gm37309	5	0	4	6
Gm37821	0	0	0	0
Gm37091	0	0	0	0
Mir6349	0	0	0	0
Npas2	14	1	6	3
Gm20428	0	0	0	1
Gm3617	0	0	0	0
Rpl31	65	63	111	35
Tbc1d8	5	47	425	129
Gm37265	0	0	9	3
Gm24826	0	0	0	0
ENSMUSG00002076218	0	0	0	0
Cnot11	10	26	101	34
Gm15832	2	1	27	3
Snord89	85	210	3198	381
Rnf149	8	9	609	60
Gm23722	0	0	0	0
Gm5100	0	1	1	0
Creg2	7	0	18	3
D930019O06Rik	0	0	11	0
Rfx8	0	2	6	13
Gm3646	0	0	0	0
1700066B17Rik	0	0	1	0
Map4k4	52	31	112	67
4930456G14Rik	0	0	0	0
Il1r2	0	0	1	0
Gm16894	0	0	0	0
Gm37347	0	0	0	0
Il1r1	18	16	83	54
Gm38070	0	0	2	1
Il1rl2	1	2	23	21
Gm17970	0	0	3	2
Il1rl1	0	3	2	1
Il18r1	1	0	2	2
Il18rap	0	0	0	2
Gm35801	0	0	0	0
Slc9a4	3	0	0	0
Gm37435	0	0	0	0
Slc9a2	89	5	72	14
Gm37623	0	1	0	0
Gm37915	0	0	0	2
Mfsd9	9	4	10	5
Tmem182	0	0	1	0
Gm5973	0	0	0	0
4930448I06Rik	0	0	0	0
Gm28634	0	0	0	0
Gm29260	0	0	1	0
Gm5267	0	0	0	0
Gm8176	0	0	0	0
Gm9915	0	0	0	0
Gm29664	0	0	0	0
Gm28175	0	0	1	0
Gm28140	0	0	0	0
Gm37047	0	2	1	1
Pantr1	0	2	14	7
4930420N18Rik	0	0	0	0
Pou3f3	1	55	273	112
Gm20646	0	0	2	1
Pantr2	0	0	14	12
Dalir	0	0	0	0
Mrps9	16	7	42	14
Gm23126	0	0	0	0
Gpr45	0	0	7	1
ENSMUSG00002075628	0	0	0	0
Tgfbrap1	16	14	87	26
Gm28782	0	0	0	0
8430432A02Rik	0	0	3	1
AI597479	3	2	32	13
Fhl2	9	0	6	1
Gm8210	0	0	0	0
Gm29040	0	4	20	1
Gm29610	0	0	3	0
Gm29041	0	0	0	0
Nck2	35	13	85	25
Gm37536	3	5	3	1
Gm38228	1	1	8	4
Ecrg4	0	0	4	0
Gm29155	0	0	0	1
Gm29157	0	0	3	0
Gm29156	0	0	2	0
Uxs1	7	24	89	21
Gm16103	0	1	3	5
Gm19587	0	0	3	1
Gm8241	0	0	0	0
Gm26352	0	0	0	0
ENSMUSG00002075225	0	0	0	0
Tpp2	30	17	133	37
Mettl21c	0	0	0	1
Gm15838	0	0	0	0
Gm8251	1	16	35	33
Tex30	2	0	8	6
Gm29247	0	0	0	0
Poglut2	1	1	19	12
Bivm	7	1	34	21
Ercc5	7	10	26	26
Mettl21e	0	0	0	0
Gm15833	0	0	0	0
Gm5700	0	0	0	0
Gm28893	0	0	0	2
Txn-ps1	1	0	0	0
Gulp1	2	0	0	0
Gm37626	0	0	0	0
Gm16102	0	0	0	0
4930521E06Rik	0	0	0	0
Gm38110	0	0	3	0
Gm3489	0	0	0	0
Gm19480	0	0	0	0
Gm3496	0	0	0	0
Gm5268	0	0	0	0
Col3a1	406	123	2884	444
ENSMUSG00002074901	0	0	0	0
Col5a2	29	3	107	24
Gm38211	2	0	2	0
Gm8296	0	0	0	0
Gm7063	0	0	0	0
Gm8304	0	0	1	0
Gm23216	0	0	0	0
Gm23974	0	0	0	0
Gm8307	0	0	0	0
Gm23984	0	0	0	0
Wdr75	5	8	25	13
Gm28906	0	0	0	0
Gm5526	0	0	2	1
Gm5269	0	0	1	0
Gm18303	0	0	0	0
Slc40a1	11	11	10	7
Gm9496	0	0	0	0
Rpl23a-ps1	0	0	0	0
Gm3852	0	1	0	0
Stk-ps2	1	0	4	6
Gm18849	1	0	0	0
Dnah7b	1	45	65	39
n-R5s211	0	0	2	0
Gm8326	0	0	0	0
Dnah7c	3	59	61	54
Slc39a10	6	25	60	15
Gm28151	1	0	3	0
Gm37393	0	0	0	0
Gm28527	0	0	0	0
Gm28825	0	0	0	0
Gm28826	0	0	0	0
Gm4852	0	0	0	0
Gm38090	0	0	0	0
Mir6350	0	0	0	0
Gm18117	0	0	0	0
Gm37196	0	0	0	0
Gm8337	1	0	2	0
ENSMUSG00002075213	0	0	0	0
7SK	0	0	0	0
Gm19206	0	0	0	1
Gm5974	0	0	0	0
Gm23240	0	0	0	1
Gm28830	0	0	0	0
Gm8354	0	0	0	0
Gm19124	0	0	0	0
Gm8357	0	0	0	0
ENSMUSG00002076043	0	0	0	0
Gm28740	0	0	0	0
Gm8367	0	0	0	0
C230029F24Rik	0	0	0	0
Gm6757	0	0	0	0
Gm3605	0	0	0	0
Gm28388	0	0	0	0
Gm8384	0	0	0	0
4933411E06Rik	0	0	1	0
Gm8391	0	0	0	0
ENSMUSG00002075839	0	0	0	0
Gm29665	0	0	0	0
Gm20118	0	0	0	0
7SK	0	0	0	0
Gm28321	1	0	0	0
Tmeff2	0	0	0	0
Gm28322	0	0	0	0
ENSMUSG00002075527	0	0	0	0
Gm28319	0	0	0	0
Gm28320	0	0	0	0
Gm29325	0	0	0	0
9330175M20Rik	0	0	0	0
Cavin2	6	2	14	2
Gm5253	0	0	0	0
1700072G22Rik	0	0	0	0
Nabp1	2	12	23	12
Gm17767	0	0	0	0
Gm37535	0	0	0	0
Gm28055	0	0	0	0
Myo1b	21	122	696	466
Gm29453	0	0	12	10
Gm28323	0	5	13	30
Gm8419	0	0	0	0
ENSMUSG00002075355	0	0	0	0
Gm8420	0	0	4	0
Stat4	2	19	19	14
Gm28177	0	0	0	0
Gm3940	0	0	0	0
Gm31812	0	0	3	0
Stat1	19	0	12	5
Gm18301	3	0	0	1
Gls	147	15	90	51
Gm5975	0	0	0	0
Gm23460	0	0	0	0
Nab1	12	8	47	14
Gm5976	1	0	2	0
Rps27a-ps1	0	0	0	0
Gm53065	0	0	1	0
Gm28178	0	0	0	0
Gm5527	0	0	0	0
Nemp2	3	6	19	8
Gm37242	0	0	0	0
Mfsd6	43	15	71	31
Gm29670	2	0	2	1
Gm28650	0	0	0	1
Inpp1	11	6	19	12
Hibch	9	7	40	14
Gm16107	0	0	0	0
1700019D03Rik	5	36	28	14
Mstn	0	0	0	0
Gm24349	0	0	0	0
1700019A02Rik	1	18	23	21
Pms1	4	2	9	11
Gm28777	0	0	1	0
Ormdl1	7	5	13	2
Gm28778	0	0	0	0
Osgepl1	6	0	18	6
Gm28551	0	0	0	0
Gm18800	0	0	0	0
Asnsd1	3	0	10	1
Gm50478	0	0	0	0
Gm28779	0	0	0	0
Gm6799	0	0	0	0
Gm6801	0	0	0	0
Dnah7a	9	100	113	124
ENSMUSG00002076105	0	0	0	0
Stk17b	32	25	20	12
Gm37863	0	0	0	0
Hecw2	2	0	9	7
Mir7681	0	0	0	0
Gm24251	0	0	0	0
Gm37633	0	0	0	0
Gm25829	0	0	1	0
Ccdc150	0	20	19	15
Gtf3c3	14	10	35	19
Gm34066	0	0	1	0
Pgap1	20	53	274	133
Gm36955	0	1	14	17
Gm19637	0	0	0	0
Ankrd44	10	3	35	14
4930444A19Rik	1	2	0	0
Gm37370	0	0	2	0
ENSMUSG00002075552	0	0	0	0
A130048G24Rik	0	7	3	1
Sf3b1	113	70	566	220
E330011M16Rik	0	0	2	0
Coq10b	1	3	5	5
Gm17971	0	0	8	6
Hspd1	55	16	105	30
Hspe1	14	11	15	6
Gm5147	0	0	0	0
Gm16581	1	0	1	0
Mob4	12	5	26	9
Gm6822	0	0	0	0
Rftn2	2	0	23	10
Gm10561	0	0	0	0
Mars2	8	5	22	25
Boll	2	9	9	10
Gm8292	0	1	1	0
Btf3-ps17	0	0	0	0
Gm8531	0	0	0	0
Plcl1	2	24	137	44
Gm38056	0	12	24	11
Gm6644	0	0	0	0
Gm37382	1	5	18	22
9130227L01Rik	0	0	0	0
Gm36986	0	0	0	0
1700003I22Rik	0	0	1	0
Gm28900	0	0	0	0
Gm28240	0	0	0	0
Hsfy2	0	0	2	0
Satb2	11	5	5	8
9130024F11Rik	0	0	1	1
Gm4081	0	3	0	2
ENSMUSG00002075847	0	0	0	0
1700126A01Rik	0	3	3	0
BC055402	0	0	0	0
Gm5254	0	0	0	0
4930558J18Rik	0	0	0	1
1700066M21Rik	3	2	9	3
Tyw5	2	0	0	0
Maip1	4	5	9	1
Gm22371	0	0	0	0
U1	0	0	3	0
Gm8581	0	0	0	0
Gm37373	0	0	0	0
Gm17929	0	0	0	0
Spats2l	20	0	2	1
Gm17234	0	0	0	0
Kctd18	3	3	30	20
Sgo2a	3	0	0	1
Aox1	3	2	18	6
Aox3	0	4	10	4
Gm24548	0	0	0	0
Aox4	0	0	0	0
Gm15759	0	0	0	0
Aox2	0	0	2	2
Gm37607	1	0	2	2
Bzw1	70	84	125	51
Clk1	59	50	177	110
Ppil3	3	0	11	1
Nif3l1	3	12	14	18
Orc2	6	17	35	8
Gm23966	0	0	0	0
Gm15834	0	0	6	6
Fam126b	28	6	45	19
Ndufb3	16	1	17	7
Gm29389	0	0	0	0
Gm18802	0	0	0	0
Cbx3-ps7	0	0	0	0
Flacc1	1	12	26	17
Gm20257	0	0	0	1
Gm28803	0	0	0	0
Cflar	52	24	120	37
Gm3841	0	0	0	0
Casp8	45	19	27	21
Gm37760	6	1	2	5
Gm28802	1	1	1	0
Trak2	34	16	68	22
Stradb	8	16	38	19
C2cd6	5	7	23	28
ENSMUSG00000047383	0	0	0	0
Gm29018	0	0	1	0
Gm25502	0	0	0	0
Tmem237	0	0	10	5
G730003C15Rik	0	0	1	3
Mpp4	1	0	1	0
Gm29017	0	0	1	2
Gm19125	0	0	0	0
Als2	57	4	25	21
Cdk15	0	1	1	1
Gm29016	0	0	0	0
Gm37737	0	0	0	0
Fzd7	10	4	11	2
Gm26813	0	0	0	0
Gm973	1	6	14	12
Gm28411	1	0	0	0
1700122D07Rik	0	0	0	0
Sumo1	8	3	13	9
7SK	0	0	0	0
D430013B06Rik	1	0	2	4
Gm29596	0	0	1	0
Nop58	12	21	36	19
Snord70	15	67	135	74
Gm26293	0	0	0	0
Gm26287	99	3405	1254	638
Snord11	99	443	583	430
Bmpr2	54	31	227	66
Gm38125	3	0	5	1
Gm37977	0	0	0	0
Fam117b	22	37	95	46
Gm37531	2	0	10	2
Gm18829	0	0	2	0
Ica1l	2	9	26	19
Wdr12	5	17	44	16
Carf	7	8	35	21
Gm15464	0	0	1	2
Nbeal1	75	17	186	68
Gm29332	0	0	0	0
Cyp20a1	4	5	24	9
6030460B20Rik	0	0	0	1
Abi2	10	17	54	21
Raph1	107	10	76	27
Gm11575	0	0	0	0
Gm11576	0	0	0	0
Gm11578	0	0	0	0
Gm38388	0	0	0	0
ENSMUSG00002075076	0	0	2	0
Gm11577	0	0	1	0
Eif4a-ps4	1	1	7	2
Cd28	0	7	2	1
Gm11579	0	0	0	0
2310016D23Rik	0	0	0	0
Gm37198	0	0	0	1
Gm11609	0	0	0	0
Gm11581	0	0	0	0
